FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF
40,85,47,14,40,36,19,25,74,8,31,39,22,6,3,11,21,46,90,51,13,32,40,18,25,74,10,35,46,26,8,5,13,17
44,86,51,12,31,38,17,24,73,10,34,44,29,7,4,14,19,42,88,48,12,33,36,18,23,78,10,33,43,26,7,4,14,20
42,89,48,11,31,35,19,26,76,9,35,45,25,6,4,13,18,43,91,48,12,34,36,18,23,78,11,32,43,24,7,5,12,19
42,88,48,12,34,35,18,23,77,9,32,41,26,7,5,15,21,41,87,47,12,35,33,19,24,78,9,33,42,25,7,5,14,20
44,92,48,12,33,36,19,24,78,11,32,43,25,8,4,13,20,41,89,46,13,37,37,19,25,77,10,34,45,27,7,5,14,20
41,89,46,12,32,37,18,22,79,11,33,44,26,6,5,13,20,42,89,47,12,33,37,17,22,77,10,33,44,25,7,4,12,19
40,85,47,13,36,36,20,25,81,9,30,39,23,7,5,14,19,44,90,48,14,35,39,20,25,77,10,32,43,27,8,3,14,18
42,88,48,16,42,37,18,23,80,9,36,46,26,6,5,13,18,43,88,49,12,33,37,19,24,79,10,32,43,26,7,4,14,19
41,85,48,13,34,38,17,21,79,8,32,41,25,7,6,13,20,40,85,48,11,33,34,18,23,78,9,31,40,23,6,4,14,19
42,86,49,10,28,36,18,22,83,8,34,42,24,8,4,13,18,43,88,48,11,33,34,20,26,78,11,34,45,25,7,5,13,21
41,84,49,11,32,36,17,22,77,9,32,41,25,7,4,13,18,43,90,48,13,36,36,18,23,79,10,35,46,26,6,5,15,20
39,84,46,11,33,36,20,23,84,9,31,40,23,7,3,13,17,41,87,47,12,36,34,17,22,79,9,33,43,26,8,4,15,20
42,88,48,12,34,35,19,25,76,12,34,46,23,6,3,12,20,43,89,48,12,33,37,20,25,80,12,33,45,27,8,5,14,19
42,90,46,10,31,33,19,24,78,13,31,44,23,9,5,11,20,43,94,46,11,32,34,16,21,79,11,34,45,24,7,3,11,18
42,87,48,12,33,37,17,20,81,9,34,44,25,6,5,14,18,43,87,50,15,38,39,19,24,80,9,31,41,27,8,6,13,21
41,85,48,12,32,37,18,23,75,9,33,42,24,7,4,14,19,41,86,48,11,33,35,19,25,78,10,32,42,26,7,4,13,20
44,92,47,11,31,35,15,21,74,11,32,44,27,6,4,15,19,42,89,47,12,33,36,19,25,77,11,32,43,25,7,4,14,19
41,88,47,13,38,36,20,26,77,12,35,47,25,6,5,15,21,43,87,49,11,32,36,16,22,76,10,31,41,25,8,4,13,18
42,89,48,11,31,35,19,26,76,9,35,45,25,6,4,13,18,40,85,47,11,32,35,21,27,78,10,32,43,23,7,3,14,19
44,87,50,13,36,37,20,25,79,9,32,41,27,6,3,13,19,44,90,48,14,35,39,20,25,77,10,32,43,27,8,3,14,18
40,85,47,14,40,36,19,25,74,8,31,39,22,6,3,11,21,40,86,47,13,37,35,17,21,77,9,34,43,26,6,4,14,18
43,90,48,14,39,37,17,22,75,11,37,49,25,6,5,14,18,41,89,46,13,37,37,19,25,77,10,34,45,27,7,5,14,20
41,86,48,11,30,37,19,24,79,10,33,43,25,8,4,14,19,40,88,46,13,37,36,17,22,78,10,33,43,25,6,4,12,20
45,94,48,10,30,34,18,22,82,11,34,45,25,7,5,12,17,40,85,48,11,33,34,18,23,78,9,31,40,23,6,4,14,19
42,88,48,16,42,37,18,23,80,9,36,46,26,6,5,13,18,40,82,49,12,32,37,18,23,79,9,33,43,26,5,4,16,19
41,85,48,13,34,38,17,21,79,8,32,41,25,7,6,13,20,41,87,47,12,36,34,17,22,79,9,33,43,26,8,4,15,20
40,89,45,11,32,33,17,23,74,10,33,44,25,7,5,14,19,43,87,50,15,38,39,19,24,80,9,31,41,27,8,6,13,21
42,90,47,13,37,36,19,23,79,10,31,41,27,8,5,14,20,43,88,48,11,33,34,20,26,78,11,34,45,25,7,5,13,21
42,87,48,12,33,37,17,20,81,9,34,44,25,6,5,14,18,39,82,47,12,34,35,17,22,78,9,33,42,25,6,3,16,19
41,89,46,12,32,37,18,22,79,11,33,44,26,6,5,13,20,43,87,49,11,32,36,16,22,76,10,31,41,25,8,4,13,18
41,88,47,13,38,36,20,26,77,12,35,47,25,6,5,15,21,42,89,47,13,36,35,19,25,76,12,35,48,25,7,5,16,19
44,92,47,11,31,35,15,21,74,11,32,44,27,6,4,15,19,41,86,48,11,33,35,19,25,78,10,32,42,26,7,4,13,20
40,83,47,12,33,38,21,25,83,8,32,41,25,7,4,13,20,39,82,47,12,34,35,17,22,78,9,33,42,25,6,3,16,19
41,85,48,11,30,36,20,25,78,9,33,43,24,6,4,15,20,39,82,47,11,30,38,18,23,77,9,31,40,23,6,4,15,19
41,85,48,12,32,37,18,23,75,9,33,42,24,7,4,14,19,44,94,47,13,38,34,16,20,77,11,33,44,26,8,5,12,21
40,85,47,14,40,36,19,25,74,8,31,39,22,6,3,11,21,42,88,48,12,33,36,18,23,78,10,33,43,26,7,4,14,20
41,86,48,11,30,37,19,24,79,10,33,43,25,8,4,14,19,41,89,46,13,37,37,19,25,77,10,34,45,27,7,5,14,20
45,94,48,10,30,34,18,22,82,11,34,45,25,7,5,12,17,42,89,47,11,32,35,18,22,81,11,31,43,24,7,4,12,19
42,88,48,16,42,37,18,23,80,9,36,46,26,6,5,13,18,40,82,49,12,32,37,18,23,79,9,33,43,26,5,4,16,19
43,90,48,14,39,37,17,22,75,11,37,49,25,6,5,14,18,40,86,47,13,37,35,17,21,77,9,34,43,26,6,4,14,18
40,87,46,11,32,35,19,26,76,11,31,42,24,7,3,15,22,41,88,46,12,32,38,19,24,78,11,33,44,23,7,3,13,18
42,90,47,13,37,36,19,23,79,10,31,41,27,8,5,14,20,40,88,46,13,37,36,17,22,78,10,33,43,25,6,4,12,20
43,90,48,17,43,39,15,20,76,10,35,46,30,7,3,15,20,42,89,47,13,36,35,19,25,76,12,35,48,25,7,5,16,19
41,89,46,12,32,37,18,22,79,11,33,44,26,6,5,13,20,46,90,51,13,32,40,18,25,74,10,35,46,26,8,5,13,17
41,88,47,13,38,36,20,26,77,12,35,47,25,6,5,15,21,44,94,47,13,38,34,16,20,77,11,33,44,26,8,5,12,21
42,86,49,10,28,36,18,22,83,8,34,42,24,8,4,13,18,43,88,49,12,33,37,19,24,79,10,32,43,26,7,4,14,19
40,88,45,10,31,32,19,25,74,13,34,47,21,7,4,16,20,43,87,49,11,32,36,16,22,76,10,31,41,25,8,4,13,18
45,93,48,12,34,35,17,23,74,12,34,47,26,8,6,12,18,41,86,48,11,33,35,19,25,78,10,32,42,26,7,4,13,20
41,86,48,11,30,37,19,24,79,10,33,43,25,8,4,14,19,42,88,48,12,33,36,18,23,78,10,33,43,26,7,4,14,20
40,83,47,12,33,38,21,25,83,8,32,41,25,7,4,13,20,41,89,46,12,33,36,16,21,76,10,34,45,23,6,4,12,18
41,85,48,13,34,38,17,21,79,8,32,41,25,7,6,13,20,42,89,47,12,33,36,19,25,77,11,32,43,25,7,4,14,19
