,a.Team,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF
0,MIL,38,82,46.3,12,34,35.3,17,21,81.0,7,31,38,28,5,2,14,13
1,SAS,51,104,49.0,15,38,39.5,21,30,70.0,13,56,69,31,2,3,12,13
2,GSW,58,96,60.4,27,49,55.1,14,16,87.5,9,49,58,47,13,6,16,18
3,LAC,49,100,49.0,5,23,21.7,16,24,66.7,14,39,53,22,3,5,10,18
4,DET,31,85,36.5,9,33,27.3,10,13,76.9,15,44,59,20,1,3,25,16
5,IND,46,89,51.7,19,34,55.9,30,38,78.9,8,36,44,33,8,9,15,24
6,UTA,51,101,50.5,10,35,28.6,5,6,83.3,7,38,45,31,4,4,11,16
7,NOP,40,90,44.4,3,21,14.3,25,29,86.2,11,38,49,18,13,3,15,24
8,PHI,53,101,52.5,14,32,43.8,14,19,73.7,13,37,50,31,10,5,13,23
9,CHA,37,81,45.7,6,32,18.8,26,30,86.7,10,39,49,23,8,5,19,14
10,MEM,40,92,43.5,7,37,18.9,13,18,72.2,11,32,43,25,8,4,12,16
11,SAC,37,85,43.5,11,43,25.6,10,15,66.7,10,24,34,24,7,6,15,18
12,ORL,38,90,42.2,17,47,36.2,17,24,70.8,13,30,43,29,13,1,14,17
13,HOU,44,90,48.9,6,21,28.6,20,28,71.4,13,38,51,24,8,6,15,15
14,ATL,44,97,45.4,11,39,28.2,15,19,78.9,16,34,50,27,11,5,9,12
15,DEN,41,90,45.6,15,46,32.6,17,24,70.8,5,36,41,32,7,9,14,20
16,POR,47,89,52.8,14,32,43.8,17,23,73.9,7,27,34,32,8,4,10,20
17,MIN,56,101,55.4,24,43,55.8,15,21,71.4,11,34,45,42,8,8,7,18
18,PHI,51,102,50.0,11,22,50.0,23,29,79.3,13,39,52,33,10,2,20,22
19,DET,44,90,48.9,13,31,41.9,21,26,80.8,10,32,42,24,12,6,13,24
20,GSW,41,78,52.6,16,36,44.4,21,24,87.5,10,37,47,36,6,7,24,22
21,PHX,43,104,41.3,9,36,25.0,12,14,85.7,13,34,47,23,7,10,9,12
22,HOU,42,89,47.2,7,21,33.3,21,28,75.0,14,34,48,21,11,9,19,23
23,MEM,53,93,57.0,20,42,47.6,11,15,73.3,11,33,44,39,9,6,12,20
24,ORL,31,87,35.6,7,38,18.4,15,17,88.2,15,42,57,17,6,6,21,19
25,NYK,38,88,43.2,14,43,32.6,15,20,75.0,7,30,37,19,5,2,10,17
26,CHI,46,88,52.3,11,31,35.5,12,18,66.7,8,42,50,24,6,4,12,15
27,MIA,43,98,43.9,15,47,31.9,7,12,58.3,14,33,47,26,7,4,16,29
28,TOR,40,93,43.0,9,31,29.0,13,17,76.5,12,23,35,21,12,2,8,17
29,DEN,44,83,53.0,8,23,34.8,19,23,82.6,9,29,38,24,7,2,13,19
30,CLE,46,88,52.3,18,38,47.4,8,9,88.9,9,33,42,31,13,7,17,21
31,POR,51,96,53.1,10,28,35.7,15,18,83.3,8,28,36,34,7,14,16,22
32,MIA,49,88,55.7,18,39,46.2,13,15,86.7,10,32,42,39,3,0,11,13
33,OKC,39,97,40.2,15,45,33.3,21,26,80.8,17,33,50,29,12,2,13,17
34,MEM,50,104,48.1,12,36,33.3,19,25,76.0,15,34,49,33,10,6,14,25
35,NYK,52,100,52.0,18,46,39.1,16,25,64.0,20,32,52,34,13,8,18,21
36,TOR,37,90,41.1,6,33,18.2,13,17,76.5,13,37,50,20,10,7,12,19
37,WAS,45,94,47.9,6,28,21.4,20,26,76.9,12,27,39,23,10,9,14,26
38,CHI,36,83,43.4,11,33,33.3,9,11,81.8,5,33,38,28,10,3,15,11
39,BKN,45,86,52.3,17,43,39.5,16,23,69.6,11,27,38,36,6,7,13,12
40,SAC,46,106,43.4,12,37,32.4,15,19,78.9,22,35,57,31,7,1,9,19
41,LAL,45,89,50.6,12,29,41.4,16,24,66.7,10,34,44,27,4,3,14,17
42,MIL,50,92,54.3,23,42,54.8,17,29,58.6,12,44,56,33,6,7,18,19
43,SAS,35,90,38.9,13,40,32.5,11,14,78.6,9,29,38,25,7,5,12,16
44,OKC,44,93,47.3,11,32,34.4,26,35,74.3,13,25,38,23,4,1,10,22
45,LAL,48,96,50.0,12,34,35.3,27,35,77.1,11,33,44,27,6,7,12,21
46,MIN,41,85,48.2,8,24,33.3,17,22,77.3,7,37,44,21,7,6,12,13
47,MIA,41,80,51.3,13,36,36.1,23,26,88.5,5,28,33,26,12,2,8,18
48,DEN,41,87,47.1,11,36,30.6,10,18,55.6,13,34,47,26,9,13,20,18
49,SAC,46,91,50.5,17,42,40.5,12,15,80.0,11,32,43,35,8,4,12,22
50,POR,42,97,43.3,14,42,33.3,11,17,64.7,13,36,49,23,7,7,10,18
51,CLE,42,84,50.0,15,31,48.4,18,20,90.0,5,25,30,23,3,7,9,16
52,TOR,42,88,47.7,15,33,45.5,21,28,75.0,10,31,41,27,13,7,7,18
53,ATL,48,86,55.8,10,28,35.7,17,19,89.5,7,41,48,26,5,7,17,18
