,a.Team,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF
0,PHX,40,85,47,11,32,35,21,27,78,10,32,43,23,7,3,14,19
1,DET,43,88,48,11,33,34,20,26,78,11,34,45,25,7,5,13,21
2,GSW,44,90,48,14,35,39,20,25,77,10,32,43,27,8,3,14,18
3,BOS,41,89,46,12,33,36,16,21,76,10,34,45,23,6,4,12,18
4,LAC,42,89,47,12,33,37,17,22,77,10,33,44,25,7,4,12,19
5,SAC,42,88,48,12,33,36,18,23,78,10,33,43,26,7,4,14,20
6,UTA,43,91,48,12,34,36,18,23,78,11,32,43,24,7,5,12,19
7,POR,41,86,48,11,33,35,19,25,78,10,32,42,26,7,4,13,20
8,MIN,42,89,47,12,33,36,19,25,77,11,32,43,25,7,4,14,19
9,MIL,43,94,46,11,32,34,16,21,79,11,34,45,24,7,3,11,18
10,WAS,42,89,47,11,32,35,18,22,81,11,31,43,24,7,4,12,19
11,ATL,43,88,49,12,33,37,19,24,79,10,32,43,26,7,4,14,19
12,DAL,42,87,49,11,31,36,18,24,78,10,34,44,25,6,3,12,21
13,MEM,41,89,46,13,37,37,19,25,77,10,34,45,27,7,5,14,20
14,HOU,43,87,50,15,38,39,19,24,80,9,31,41,27,8,6,13,21
15,NOP,41,87,47,12,35,33,19,24,78,9,33,42,25,7,5,14,20
16,OKC,42,89,47,13,36,35,19,25,76,12,35,48,25,7,5,16,19
17,SAS,46,90,51,13,32,40,18,25,74,10,35,46,26,8,5,13,17
18,CLE,39,82,47,11,30,38,18,23,77,9,31,40,23,6,4,15,19
19,CHI,40,86,47,13,37,35,17,21,77,9,34,43,26,6,4,14,18
20,BKN,41,88,46,12,32,38,19,24,78,11,33,44,23,7,3,13,18
21,TOR,40,82,49,12,32,37,18,23,79,9,33,43,26,5,4,16,19
22,IND,43,89,48,12,33,37,20,25,80,12,33,45,27,8,5,14,19
23,MIA,39,82,47,12,34,35,17,22,78,9,33,42,25,6,3,16,19
24,PHI,40,85,48,11,33,34,18,23,78,9,31,40,23,6,4,14,19
25,ORL,41,87,47,12,36,34,17,22,79,9,33,43,26,8,4,15,20
26,NYK,40,88,46,13,37,36,17,22,78,10,33,43,25,6,4,12,20
27,DEN,43,87,49,11,32,36,16,22,76,10,31,41,25,8,4,13,18
28,LAL,44,94,47,13,38,34,16,20,77,11,33,44,26,8,5,12,21
29,CHA,43,90,48,13,36,36,18,23,79,10,35,46,26,6,5,15,20
