,Team,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
0,TOR,48,95,50.5,11,33,33.3,14,16,87.5,7,38,45,29,8,2,9,19
1,DAL,46,108,42.6,17,53,32.1,8,16,50.0,8,38,46,28,4,3,4,21
2,POR,38,95,40.0,9,35,25.7,16,24,66.7,6,24,30,25,5,3,14,9
3,PHX,42,99,42.4,14,37,37.8,16,22,72.7,12,35,47,29,4,3,7,21
4,CHI,40,95,42.1,6,30,20.0,17,22,77.3,11,37,48,21,15,7,4,16
5,NYK,52,108,48.1,15,40,37.5,17,22,77.3,19,34,53,29,8,8,15,24
6,LAL,47,97,48.5,18,45,40.0,16,21,76.2,10,39,49,28,4,7,11,9
7,MIN,39,82,47.6,13,36,36.1,22,31,71.0,8,34,42,25,7,8,17,22
8,BKN,35,83,42.2,12,32,37.5,23,28,82.1,10,32,42,22,6,6,19,22
9,CLE,35,89,39.3,10,37,27.0,15,16,93.8,11,33,44,27,9,5,16,24
10,OKC,45,90,50.0,12,36,33.3,13,16,81.3,8,41,49,30,5,2,16,17
11,DEN,42,84,50.0,7,28,25.0,18,25,72.0,15,36,51,25,11,2,20,15
12,MIA,45,83,54.2,18,44,40.9,15,20,75.0,7,37,44,30,10,3,18,20
13,WAS,41,97,42.3,14,45,31.1,13,21,61.9,14,37,51,28,11,5,13,21
14,BOS,42,89,47.2,25,54,46.3,11,14,78.6,12,35,47,33,5,3,15,13
15,UTA,44,100,44.0,11,35,31.4,19,23,82.6,17,42,59,30,9,2,16,18
16,LAC,49,93,52.7,12,35,34.3,26,30,86.7,13,38,51,30,7,5,12,17
17,SAS,50,95,52.6,13,29,44.8,18,24,75.0,10,35,45,34,5,4,13,16
18,ATL,51,92,55.4,10,33,30.3,19,28,67.9,4,34,38,32,11,7,21,19
19,IND,41,83,49.4,11,31,35.5,22,28,78.6,9,33,42,29,7,3,19,22
20,SAC,38,98,38.8,11,39,28.2,10,18,55.6,18,22,40,24,10,3,12,16
21,LAL,45,92,48.9,18,36,50.0,13,17,76.5,10,44,54,25,6,6,16,12
22,CHA,38,88,43.2,13,41,31.7,20,27,74.1,7,34,41,22,10,9,17,21
23,MIL,42,92,45.7,21,49,42.9,9,11,81.8,11,27,38,30,5,3,19,15
24,BKN,35,89,39.3,9,42,21.4,22,25,88.0,10,35,45,27,14,3,10,12
25,NOP,42,79,53.2,10,28,35.7,19,20,95.0,4,39,43,27,4,7,12,17
26,DAL,42,93,45.2,18,55,32.7,10,13,76.9,7,36,43,23,7,3,10,15
27,WAS,39,84,46.4,7,33,21.2,29,37,78.4,12,38,50,23,4,3,17,18
28,BOS,45,81,55.6,15,44,34.1,16,21,76.2,13,40,53,37,4,7,21,14
29,PHX,41,79,51.9,17,36,47.2,20,25,80.0,7,26,33,26,4,6,10,16
30,ORL,33,83,39.8,13,39,33.3,15,19,78.9,9,30,39,21,8,8,22,11
31,SAS,47,106,44.3,10,35,28.6,25,28,89.3,18,29,47,29,9,4,15,12
32,PHI,39,76,51.3,10,36,27.8,13,15,86.7,3,29,32,23,7,4,17,18
33,UTA,41,83,49.4,5,31,16.1,11,16,68.8,7,38,45,24,5,2,19,23
34,NOP,44,88,50.0,21,39,53.8,29,39,74.4,8,36,44,35,9,8,16,22
35,IND,45,87,51.7,15,30,50.0,24,30,80.0,10,27,37,33,6,5,17,17
36,BOS,38,89,42.7,11,38,28.9,10,18,55.6,11,37,48,20,5,7,15,14
37,ATL,43,84,51.2,13,30,43.3,35,40,87.5,12,36,48,30,10,5,17,23
38,MIL,39,92,42.4,18,46,39.1,9,11,81.8,13,40,53,26,7,3,13,13
39,DET,41,84,48.8,13,28,46.4,13,14,92.9,9,25,34,27,5,3,14,18
40,DAL,44,89,49.4,20,44,45.5,15,18,83.3,7,32,39,24,4,7,10,18
41,LAC,43,82,52.4,16,36,44.4,23,27,85.2,5,33,38,23,9,4,13,18
42,WAS,50,99,50.5,13,27,48.1,15,21,71.4,9,33,42,30,7,4,9,21
43,PHX,43,89,48.3,10,33,30.3,19,26,73.1,15,42,57,25,7,7,14,12
44,GSW,47,95,49.5,20,47,42.6,22,30,73.3,19,35,54,25,6,6,14,22
45,UTA,47,90,52.2,15,33,45.5,24,31,77.4,6,35,41,29,4,3,14,28
46,BKN,39,90,43.3,13,35,37.1,11,14,78.6,7,33,40,21,6,8,10,18
47,DET,36,73,49.3,11,28,39.3,22,27,81.5,6,29,35,21,5,2,14,22
48,HOU,47,102,46.1,12,31,38.7,18,24,75.0,20,35,55,23,12,3,13,16
49,NOP,37,84,44.0,7,20,35.0,22,27,81.5,9,28,37,20,6,4,14,14
50,MEM,42,87,48.3,18,48,37.5,17,22,77.3,8,41,49,30,5,5,12,10
51,ORL,45,89,50.6,10,23,43.5,13,17,76.5,13,34,47,25,6,1,13,22
52,CHA,36,77,46.8,12,31,38.7,16,19,84.2,6,36,42,27,3,4,18,22
53,CHI,41,89,46.1,7,31,22.6,16,20,80.0,6,26,32,16,8,6,8,18
54,PHI,39,78,50.0,11,29,37.9,14,16,87.5,6,31,37,21,3,7,12,21
55,ATL,51,108,47.2,12,35,34.3,18,22,81.8,16,37,53,28,10,3,11,22
56,MIL,46,80,57.5,10,28,35.7,15,21,71.4,7,35,42,28,8,5,12,17
57,NYK,46,88,52.3,13,32,40.6,13,18,72.2,7,32,39,31,12,4,12,17
58,SAC,49,103,47.6,11,44,25.0,25,32,78.1,13,30,43,24,9,5,15,23
59,BKN,38,86,44.2,9,32,28.1,26,34,76.5,7,33,40,25,6,2,9,26
60,CHA,42,85,49.4,15,31,48.4,9,13,69.2,10,27,37,26,3,4,18,11
61,CHI,50,94,53.2,9,31,29.0,19,22,86.4,4,32,36,29,9,6,3,13
62,OKC,36,88,40.9,11,32,34.4,35,41,85.4,13,28,41,21,7,0,8,23
63,ORL,43,75,57.3,17,33,51.5,25,40,62.5,7,34,41,30,11,6,16,26
64,DEN,44,100,44.0,9,33,27.3,15,18,83.3,17,30,47,24,11,7,13,17
65,HOU,44,102,43.1,13,34,38.2,8,10,80.0,16,28,44,23,4,4,10,18
66,CLE,44,90,48.9,9,24,37.5,18,26,69.2,13,30,43,23,7,7,13,22
67,MIN,38,79,48.1,11,26,42.3,18,23,78.3,7,40,47,29,3,5,18,17
68,NOP,42,86,48.8,7,17,41.2,31,35,88.6,14,26,40,21,6,5,7,15
69,MIA,45,86,52.3,13,37,35.1,26,29,89.7,10,26,36,27,6,0,11,16
70,POR,40,85,47.1,19,38,50.0,15,23,65.2,9,24,33,29,9,6,20,15
71,GSW,47,93,50.5,21,49,42.9,15,21,71.4,14,31,45,37,5,4,15,18
72,MEM,43,96,44.8,9,33,27.3,13,17,76.5,12,39,51,25,11,7,15,16
73,MIN,41,95,43.2,13,39,33.3,16,19,84.2,12,27,39,25,10,4,16,22
74,CHA,35,77,45.5,14,37,37.8,7,10,70.0,4,32,36,27,3,5,22,21
75,BKN,49,88,55.7,15,33,45.5,11,13,84.6,9,32,41,33,9,3,13,17
76,PHX,37,88,42.0,10,27,37.0,16,21,76.2,13,38,51,28,8,7,16,16
77,WAS,41,105,39.0,17,50,34.0,10,12,83.3,15,36,51,24,5,5,13,24
78,PHI,41,73,56.2,12,31,38.7,23,25,92.0,9,28,37,28,7,6,18,20
79,CLE,44,86,51.2,17,37,45.9,11,13,84.6,3,30,33,33,2,9,10,21
80,HOU,38,83,45.8,11,31,35.5,34,45,75.6,14,32,46,18,9,5,12,24
81,IND,45,98,45.9,12,41,29.3,19,28,67.9,20,36,56,30,5,4,16,21
82,BOS,42,96,43.8,17,51,33.3,21,22,95.5,10,32,42,27,8,4,12,14
83,MIL,38,101,37.6,14,43,32.6,9,13,69.2,15,30,45,22,4,1,13,16
84,DEN,32,80,40.0,4,28,14.3,20,32,62.5,11,29,40,21,4,5,10,21
85,MEM,49,95,51.6,11,32,34.4,23,28,82.1,14,31,45,26,8,4,13,20
86,BKN,44,82,53.7,17,35,48.6,18,27,66.7,8,33,41,33,4,9,12,18
87,SAS,45,95,47.4,10,35,28.6,17,21,81.0,9,30,39,31,10,4,15,16
88,PHI,37,80,46.3,17,36,47.2,25,30,83.3,11,32,43,26,9,4,11,19
89,NYK,38,76,50.0,13,31,41.9,12,23,52.2,9,38,47,22,8,3,16,14
90,OKC,39,87,44.8,10,29,34.5,19,25,76.0,10,28,38,19,7,3,10,18
91,PHX,40,96,41.7,6,20,30.0,21,27,77.8,15,33,48,23,11,8,8,16
92,IND,53,101,52.5,14,30,46.7,16,22,72.7,10,19,29,36,9,4,8,25
93,POR,30,93,32.3,9,39,23.1,11,12,91.7,8,37,45,18,5,6,14,15
94,CHI,45,88,51.1,9,33,27.3,11,13,84.6,6,26,32,31,10,4,14,22
95,WAS,54,99,54.5,13,37,35.1,9,13,69.2,6,37,43,33,7,3,11,13
96,MEM,42,88,47.7,12,34,35.3,17,23,73.9,7,42,49,26,11,6,17,17
97,ATL,41,89,46.1,12,27,44.4,26,33,78.8,14,37,51,25,5,3,15,16
98,GSW,43,82,52.4,18,40,45.0,16,22,72.7,11,30,41,32,11,4,19,18
99,TOR,45,93,48.4,8,36,22.2,8,9,88.9,15,32,47,32,8,7,9,13
100,OKC,50,96,52.1,11,30,36.7,23,29,79.3,7,32,39,25,11,3,11,21
101,NYK,50,86,58.1,17,39,43.6,20,28,71.4,7,32,39,35,11,8,11,20
102,UTA,38,86,44.2,9,36,25.0,18,27,66.7,10,37,47,25,2,7,13,19
103,DET,41,92,44.6,7,24,29.2,28,36,77.8,14,33,47,22,5,0,10,20
104,DEN,43,85,50.6,11,32,34.4,19,22,86.4,10,32,42,34,8,4,12,16
105,SAC,39,84,46.4,5,27,18.5,32,40,80.0,12,30,42,16,4,4,10,23
106,LAC,48,81,59.3,20,40,50.0,8,16,50.0,6,31,37,41,10,4,18,17
107,POR,35,90,38.9,7,33,21.2,13,15,86.7,6,23,29,15,6,2,12,16
108,IND,39,93,41.9,8,28,28.6,18,23,78.3,14,29,43,20,6,3,14,19
109,CLE,39,83,47.0,9,30,30.0,21,24,87.5,13,28,41,20,5,7,11,16
110,CHA,39,88,44.3,12,29,41.4,20,24,83.3,14,44,58,27,6,2,14,18
111,BOS,52,91,57.1,18,44,40.9,15,21,71.4,9,52,61,29,4,11,15,18
112,POR,39,82,47.6,14,32,43.8,20,27,74.1,8,29,37,18,5,7,18,22
113,ORL,45,85,52.9,7,22,31.8,22,28,78.6,9,38,47,30,7,3,11,21
114,LAL,38,75,50.7,13,36,36.1,19,28,67.9,8,30,38,24,5,4,18,18
115,TOR,45,98,45.9,11,31,35.5,13,16,81.3,18,35,53,22,13,6,13,19
116,ATL,45,98,45.9,7,31,22.6,22,26,84.6,14,34,48,27,4,5,10,15
117,GSW,34,82,41.5,15,40,37.5,13,17,76.5,6,31,37,25,9,2,16,19
118,DEN,47,89,52.8,15,36,41.7,20,28,71.4,7,41,48,28,4,3,12,18
119,PHX,47,93,50.5,15,32,46.9,16,19,84.2,13,32,45,35,4,9,8,22
120,SAC,44,95,46.3,16,43,37.2,17,21,81.0,14,28,42,30,11,1,9,13
121,LAC,39,75,52.0,15,33,45.5,17,21,81.0,2,29,31,29,9,6,20,14
122,ATL,53,96,55.2,15,30,50.0,22,25,88.0,15,27,42,33,10,8,13,14
123,MIA,38,80,47.5,12,30,40.0,12,14,85.7,8,24,32,22,5,4,14,19
124,WAS,51,85,60.0,15,30,50.0,19,26,73.1,6,37,43,29,3,8,10,16
125,BOS,44,93,47.3,18,42,42.9,14,19,73.7,9,40,49,28,11,6,15,15
126,TOR,41,92,44.6,13,37,35.1,23,29,79.3,15,31,46,25,12,9,11,24
127,SAC,47,89,52.8,13,39,33.3,28,32,87.5,5,28,33,29,6,3,4,23
128,MEM,57,93,61.3,25,42,59.5,12,14,85.7,5,30,35,36,12,7,11,19
129,LAL,42,91,46.2,12,34,35.3,20,28,71.4,16,37,53,20,9,4,11,14
130,UTA,40,104,38.5,11,40,27.5,25,34,73.5,20,31,51,28,6,5,11,15
131,DAL,41,84,48.8,9,36,25.0,18,24,75.0,7,38,45,25,3,4,11,19
132,GSW,42,88,47.7,18,50,36.0,18,24,75.0,10,39,49,27,3,0,11,21
133,POR,37,86,43.0,6,31,19.4,16,18,88.9,8,23,31,23,10,5,14,14
134,NOP,45,98,45.9,11,34,32.4,14,15,93.3,11,41,52,26,11,0,11,14
135,ORL,40,87,46.0,13,32,40.6,18,21,85.7,8,35,43,25,8,7,16,19
136,BKN,39,81,48.1,12,34,35.3,24,27,88.9,9,33,42,24,7,7,16,21
137,LAC,47,84,56.0,18,37,48.6,15,20,75.0,8,34,42,34,9,5,15,9
138,DAL,44,89,49.4,17,40,42.5,20,28,71.4,8,23,31,27,7,2,10,17
