,Team,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
0,PHX,41,89,46,12,32,37,18,22,79,11,33,44,26,6,5,13,20
1,DET,40,87,46,11,32,35,19,26,76,11,31,42,24,7,3,15,22
2,GSW,43,90,48,17,43,39,15,20,76,10,35,46,30,7,3,15,20
3,BOS,42,88,48,16,42,37,18,23,80,9,36,46,26,6,5,13,18
4,LAC,41,85,48,12,32,37,18,23,75,9,33,42,24,7,4,14,19
5,SAC,44,87,50,13,36,37,20,25,79,9,32,41,27,6,3,13,19
6,UTA,41,88,47,13,38,36,20,26,77,12,35,47,25,6,5,15,21
7,POR,40,85,47,13,36,36,20,25,81,9,30,39,23,7,5,14,19
8,MIN,42,88,48,12,34,35,18,23,77,9,32,41,26,7,5,15,21
9,MIL,43,90,48,14,39,37,17,22,75,11,37,49,25,6,5,14,18
10,WAS,42,87,48,12,33,37,17,20,81,9,34,44,25,6,5,14,18
11,ATL,45,94,48,10,30,34,18,22,82,11,34,45,25,7,5,12,17
12,DAL,40,85,47,14,40,36,19,25,74,8,31,39,22,6,3,11,21
13,MEM,45,93,48,12,34,35,17,23,74,12,34,47,26,8,6,12,18
14,HOU,40,88,45,10,31,32,19,25,74,13,34,47,21,7,4,16,20
15,NOP,41,86,48,11,30,37,19,24,79,10,33,43,25,8,4,14,19
16,OKC,44,92,48,12,33,36,19,24,78,11,32,43,25,8,4,13,20
17,SAS,44,92,47,11,31,35,15,21,74,11,32,44,27,6,4,15,19
18,CLE,41,84,49,11,32,36,17,22,77,9,32,41,25,7,4,13,18
19,CHI,42,86,49,10,28,36,18,22,83,8,34,42,24,8,4,13,18
20,BKN,41,85,48,13,34,38,17,21,79,8,32,41,25,7,6,13,20
21,TOR,42,90,46,10,31,33,19,24,78,13,31,44,23,9,5,11,20
22,IND,42,90,47,13,37,36,19,23,79,10,31,41,27,8,5,14,20
23,MIA,39,84,46,11,33,36,20,23,84,9,31,40,23,7,3,13,17
24,PHI,40,83,47,12,33,38,21,25,83,8,32,41,25,7,4,13,20
25,ORL,41,85,48,11,30,36,20,25,78,9,33,43,24,6,4,15,20
26,NYK,42,88,48,12,34,35,19,25,76,12,34,46,23,6,3,12,20
27,DEN,44,86,51,12,31,38,17,24,73,10,34,44,29,7,4,14,19
28,LAL,42,89,48,11,31,35,19,26,76,9,35,45,25,6,4,13,18
29,CHA,40,89,45,11,32,33,17,23,74,10,33,44,25,7,5,14,19
