,Team,a.Team
0,TOR,MIL
1,DAL,SAS
2,POR,GSW
3,PHX,LAC
4,CHI,DET
5,NYK,IND
6,LAL,UTA
7,MIN,NOP
8,BKN,PHI
9,CLE,CHA
10,OKC,MEM
11,DEN,SAC
12,MIA,ORL
13,WAS,HOU
14,BOS,ATL
15,UTA,DEN
16,LAC,POR
17,SAS,MIN
18,ATL,PHI
19,IND,DET
20,SAC,GSW
21,LAL,PHX
22,CHA,HOU
23,MIL,MEM
24,BKN,ORL
25,NOP,NYK
26,DAL,CHI
27,WAS,MIA
28,BOS,TOR
29,PHX,DEN
30,ORL,CLE
31,SAS,POR
32,PHI,MIA
33,UTA,OKC
34,NOP,MEM
35,IND,NYK
36,BOS,TOR
37,ATL,WAS
38,MIL,CHI
39,DET,BKN
40,DAL,SAC
41,LAC,LAL
42,WAS,MIL
43,PHX,SAS
44,GSW,OKC
45,UTA,LAL
46,BKN,MIN
47,DET,MIA
48,HOU,DEN
49,NOP,SAC
50,MEM,POR
51,ORL,CLE
52,CHA,TOR
53,CHI,ATL
54,PHI,BOS
55,ATL,DAL
56,MIL,PHI
57,NYK,WAS
58,SAC,SAS
59,BKN,UTA
60,CHA,TOR
61,CHI,MEM
62,OKC,PHX
63,ORL,DET
64,DEN,GSW
65,HOU,LAL
66,CLE,IND
67,MIN,POR
68,NOP,LAC
69,MIA,DAL
70,POR,SAC
71,GSW,SAS
72,MEM,LAC
73,MIN,LAL
74,CHA,CHI
75,BKN,ATL
76,PHX,DEN
77,WAS,ORL
78,PHI,TOR
79,CLE,NYK
80,HOU,DET
81,IND,OKC
82,BOS,UTA
83,MIL,BOS
84,DEN,NOP
85,MEM,LAC
86,BKN,HOU
87,SAS,UTA
88,PHI,DAL
89,NYK,MIA
90,OKC,DET
91,PHX,MIN
92,IND,MIL
93,POR,SAC
94,CHI,LAL
95,WAS,BOS
96,MEM,ORL
97,ATL,CLE
98,GSW,NOP
99,TOR,MIA
100,OKC,CHA
101,NYK,HOU
102,UTA,PHX
103,DET,MIL
104,DEN,PHI
105,SAC,MIN
106,LAC,CHI
107,POR,NOP
108,IND,DAL
109,CLE,HOU
110,CHA,DAL
111,BOS,SAS
112,POR,OKC
113,ORL,BKN
114,LAL,CHI
115,TOR,WAS
116,ATL,MEM
117,GSW,MIN
118,DEN,MIL
119,PHX,PHI
120,SAC,UTA
121,LAC,NOP
122,ATL,IND
123,MIA,BKN
124,WAS,SAS
125,BOS,IND
126,TOR,DET
127,SAC,PHX
128,MEM,HOU
129,LAL,OKC
130,UTA,MIL
131,DAL,CHA
132,GSW,PHI
133,POR,CHI
134,NOP,CHA
135,ORL,NYK
136,BKN,CLE
137,LAC,OKC
138,DAL,GSW
139,MIN,ATL
140,MIL,SAS
141,TOR,IND
142,MEM,HOU
143,WAS,DEN
144,CHI,PHI
145,LAL,PHX
146,MIA,NYK
147,UTA,POR
148,SAC,BOS
149,LAC,OKC
150,ATL,DET
151,ORL,WAS
152,BKN,CLE
153,NOP,SAS
154,UTA,SAC
155,PHI,CHI
156,NYK,MIN
157,HOU,GSW
158,CHA,IND
159,MEM,DAL
160,SAS,ATL
161,OKC,PHX
162,DET,MIA
163,MIL,TOR
164,LAL,ORL
165,BKN,DEN
166,POR,LAC
167,HOU,NOP
168,LAC,ORL
169,TOR,MIN
170,MEM,GSW
171,UTA,BOS
172,CHI,MIA
173,NYK,DEN
174,WAS,SAC
175,IND,PHI
176,SAS,MEM
177,CHA,PHI
178,LAL,DAL
179,ATL,GSW
180,POR,BOS
181,CLE,WAS
182,CHI,MIN
183,HOU,NOP
184,DET,DEN
185,BKN,SAC
186,TOR,OKC
187,PHX,ORL
188,MIL,IND
189,LAC,GSW
190,MIA,MEM
191,SAS,DAL
192,CHI,SAC
193,MIN,BOS
194,HOU,LAL
195,CLE,PHI
196,CHA,CLE
197,TOR,DEN
198,NOP,LAL
199,OKC,BKN
200,POR,NYK
201,PHX,MIL
202,WAS,DET
203,SAS,ORL
204,DAL,MEM
205,MIA,UTA
