Home,Away
0.06,0.94
1.0,0.0
0.95,0.06
0.66,0.35
0.86,0.14
0.88,0.12
0.97,0.03
0.98,0.02
0.99,0.01
0.98,0.02
0.96,0.04
0.96,0.04
0.56,0.44
1.0,0.0
0.2,0.8
0.98,0.02
0.93,0.07
0.83,0.17
1.0,0.0
0.99,0.01
0.9,0.1
0.82,0.18
1.0,0.0
1.0,0.0
0.99,0.01
0.92,0.08
0.29,0.71
0.75,0.25
1.0,0.0
0.85,0.15
0.62,0.38
0.85,0.15
1.0,0.0
0.98,0.02
0.89,0.11
0.9,0.1
0.95,0.05
0.99,0.01
0.99,0.01
0.98,0.02
0.98,0.02
0.99,0.01
0.93,0.07
0.1,0.9
0.64,0.36
1.0,0.0
0.88,0.12
0.99,0.01
1.0,0.0
0.99,0.01
0.97,0.03
0.99,0.01
0.99,0.01
0.98,0.02
0.99,0.01
1.0,0.0
0.77,0.23
0.99,0.01
0.7,0.3
1.0,0.0
1.0,0.0
0.98,0.02
0.56,0.44
0.17,0.83
0.83,0.17
0.98,0.02
0.92,0.08
0.99,0.01
0.99,0.01
1.0,0.0
