Team,a.Team
DAL,SAS
DEN,SAC
LAL,UTA
MIN,NOP
OKC,MEM
PHX,LAC
POR,GSW
BOS,ATL
BKN,PHI
CHI,DET
CLE,CHA
MIA,ORL
NYK,IND
TOR,MIL
WAS,HOU
LAC,POR
SAS,MIN
UTA,DEN
LAL,PHX
SAC,GSW
DAL,CHI
MIL,MEM
NOP,NYK
ATL,PHI
BOS,TOR
BKN,ORL
CHA,HOU
IND,DET
WAS,MIA
PHX,DEN
UTA,OKC
SAS,POR
PHI,MIA
ORL,CLE
LAC,LAL
DAL,SAC
NOP,MEM
ATL,WAS
BOS,TOR
MIL,CHI
DET,BKN
IND,NYK
GSW,OKC
PHX,SAS
UTA,LAL
CHI,ATL
HOU,DEN
MEM,POR
NOP,SAC
PHI,BOS
BKN,MIN
CHA,TOR
DET,MIA
ORL,CLE
WAS,MIL
DEN,GSW
CLE,IND
MIL,PHI
HOU,LAL
OKC,PHX
ATL,DAL
NYK,WAS
ORL,DET
SAC,SAS
BKN,UTA
CHI,MEM
MIN,POR
CHA,TOR
NOP,LAC
MIA,DAL
