Team,a.Team,Data,CasaAposta,Home,Away
Dallas Mavericks,San Antonio Spurs,09.04.2023 16:30,bet365,1.59,2.5
Dallas Mavericks,San Antonio Spurs,09.04.2023 16:30,Betano.br,1.62,2.37
Dallas Mavericks,San Antonio Spurs,09.04.2023 16:30,1xBet,1.61,2.54
Dallas Mavericks,San Antonio Spurs,09.04.2023 16:30,Betfair,1.62,2.25
Dallas Mavericks,San Antonio Spurs,09.04.2023 16:30,Marsbet,1.56,2.5
Dallas Mavericks,San Antonio Spurs,09.04.2023 16:30,Novibet,1.53,2.6
Dallas Mavericks,San Antonio Spurs,09.04.2023 16:30,Parimatch,1.56,2.5
Denver Nuggets,Sacramento Kings,09.04.2023 16:30,bet365,2.75,1.48
Denver Nuggets,Sacramento Kings,09.04.2023 16:30,Betano.br,2.75,1.47
Denver Nuggets,Sacramento Kings,09.04.2023 16:30,1xBet,2.82,1.51
Denver Nuggets,Sacramento Kings,09.04.2023 16:30,Betfair,2.7,1.44
Denver Nuggets,Sacramento Kings,09.04.2023 16:30,Marsbet,2.45,1.52
Denver Nuggets,Sacramento Kings,09.04.2023 16:30,Novibet,2.75,1.48
Denver Nuggets,Sacramento Kings,09.04.2023 16:30,Parimatch,2.75,1.48
Los Angeles Lakers,Utah Jazz,09.04.2023 16:30,bet365,1.06,11.0
Los Angeles Lakers,Utah Jazz,09.04.2023 16:30,Betano.br,1.05,11.5
Los Angeles Lakers,Utah Jazz,09.04.2023 16:30,1xBet,1.09,10.5
Los Angeles Lakers,Utah Jazz,09.04.2023 16:30,Betfair,1.06,8.5
Los Angeles Lakers,Utah Jazz,09.04.2023 16:30,Marsbet,1.08,7.5
Los Angeles Lakers,Utah Jazz,09.04.2023 16:30,Novibet,1.09,8.3
Los Angeles Lakers,Utah Jazz,09.04.2023 16:30,Parimatch,1.07,8.4
Minnesota Timberwolves,New Orleans Pelicans,09.04.2023 16:30,bet365,1.63,2.4
Minnesota Timberwolves,New Orleans Pelicans,09.04.2023 16:30,Betano.br,1.65,2.32
Minnesota Timberwolves,New Orleans Pelicans,09.04.2023 16:30,1xBet,1.65,2.44
Minnesota Timberwolves,New Orleans Pelicans,09.04.2023 16:30,Betfair,1.65,2.2
Minnesota Timberwolves,New Orleans Pelicans,09.04.2023 16:30,Marsbet,1.65,2.2
Minnesota Timberwolves,New Orleans Pelicans,09.04.2023 16:30,Novibet,1.71,2.2
Minnesota Timberwolves,New Orleans Pelicans,09.04.2023 16:30,Parimatch,1.66,2.29
Oklahoma City Thunder,Memphis Grizzlies,09.04.2023 16:30,bet365,1.77,2.1
Oklahoma City Thunder,Memphis Grizzlies,09.04.2023 16:30,Betano.br,1.8,2.07
Oklahoma City Thunder,Memphis Grizzlies,09.04.2023 16:30,1xBet,1.81,2.17
Oklahoma City Thunder,Memphis Grizzlies,09.04.2023 16:30,Betfair,1.75,2.05
Oklahoma City Thunder,Memphis Grizzlies,09.04.2023 16:30,Marsbet,1.75,2.0
Oklahoma City Thunder,Memphis Grizzlies,09.04.2023 16:30,Novibet,1.74,2.15
Oklahoma City Thunder,Memphis Grizzlies,09.04.2023 16:30,Parimatch,1.74,2.16
Phoenix Suns,Los Angeles Clippers,09.04.2023 16:30,bet365,4.75,1.2
Phoenix Suns,Los Angeles Clippers,09.04.2023 16:30,Betano.br,4.5,1.22
Phoenix Suns,Los Angeles Clippers,09.04.2023 16:30,1xBet,5.1,1.22
Phoenix Suns,Los Angeles Clippers,09.04.2023 16:30,Betfair,4.33,1.2
Phoenix Suns,Los Angeles Clippers,09.04.2023 16:30,Marsbet,3.95,1.25
Phoenix Suns,Los Angeles Clippers,09.04.2023 16:30,Novibet,4.15,1.25
Phoenix Suns,Los Angeles Clippers,09.04.2023 16:30,Parimatch,5.0,1.19
Portland Trail Blazers,Golden State Warriors,09.04.2023 16:30,bet365,11.0,1.06
Portland Trail Blazers,Golden State Warriors,09.04.2023 16:30,Betano.br,10.25,1.06
Portland Trail Blazers,Golden State Warriors,09.04.2023 16:30,1xBet,10.0,1.09
Portland Trail Blazers,Golden State Warriors,09.04.2023 16:30,Betfair,9.0,1.05
Portland Trail Blazers,Golden State Warriors,09.04.2023 16:30,Marsbet,12.0,1.04
Portland Trail Blazers,Golden State Warriors,09.04.2023 16:30,Novibet,9.8,1.07
Portland Trail Blazers,Golden State Warriors,09.04.2023 16:30,Parimatch,7.77,1.08
Boston Celtics,Atlanta Hawks,09.04.2023 14:00,bet365,1.52,2.67
Boston Celtics,Atlanta Hawks,09.04.2023 14:00,Betano.br,1.4,3.05
Boston Celtics,Atlanta Hawks,09.04.2023 14:00,1xBet,1.55,2.72
Boston Celtics,Atlanta Hawks,09.04.2023 14:00,Betfair,1.47,2.63
Boston Celtics,Atlanta Hawks,09.04.2023 14:00,Marsbet,1.45,2.7
Boston Celtics,Atlanta Hawks,09.04.2023 14:00,Novibet,1.53,2.6
Boston Celtics,Atlanta Hawks,09.04.2023 14:00,Parimatch,1.53,2.5
Brooklyn Nets,Philadelphia 76ers,09.04.2023 14:00,bet365,1.83,2.0
Brooklyn Nets,Philadelphia 76ers,09.04.2023 14:00,Betano.br,1.72,2.18
Brooklyn Nets,Philadelphia 76ers,09.04.2023 14:00,1xBet,1.85,2.11
Brooklyn Nets,Philadelphia 76ers,09.04.2023 14:00,Betfair,1.73,2.1
Brooklyn Nets,Philadelphia 76ers,09.04.2023 14:00,Marsbet,1.8,2.0
Brooklyn Nets,Philadelphia 76ers,09.04.2023 14:00,Novibet,1.81,2.05
Brooklyn Nets,Philadelphia 76ers,09.04.2023 14:00,Parimatch,1.8,2.06
Chicago Bulls,Detroit Pistons,09.04.2023 14:00,bet365,1.26,4.0
Chicago Bulls,Detroit Pistons,09.04.2023 14:00,Betano.br,1.27,3.95
Chicago Bulls,Detroit Pistons,09.04.2023 14:00,1xBet,1.29,4.16
Chicago Bulls,Detroit Pistons,09.04.2023 14:00,Betfair,1.29,3.5
Chicago Bulls,Detroit Pistons,09.04.2023 14:00,Marsbet,1.25,3.75
Chicago Bulls,Detroit Pistons,09.04.2023 14:00,Novibet,1.3,3.7
Chicago Bulls,Detroit Pistons,09.04.2023 14:00,Parimatch,1.24,4.3
Cleveland Cavaliers,Charlotte Hornets,09.04.2023 14:00,bet365,1.41,3.05
Cleveland Cavaliers,Charlotte Hornets,09.04.2023 14:00,Betano.br,1.4,3.05
Cleveland Cavaliers,Charlotte Hornets,09.04.2023 14:00,1xBet,1.44,3.12
Cleveland Cavaliers,Charlotte Hornets,09.04.2023 14:00,Betfair,1.4,2.88
Cleveland Cavaliers,Charlotte Hornets,09.04.2023 14:00,Marsbet,1.41,3.0
Cleveland Cavaliers,Charlotte Hornets,09.04.2023 14:00,Novibet,1.43,2.95
Cleveland Cavaliers,Charlotte Hornets,09.04.2023 14:00,Parimatch,1.41,3.0
Miami Heat,Orlando Magic,09.04.2023 14:00,bet365,1.48,2.75
Miami Heat,Orlando Magic,09.04.2023 14:00,Betano.br,1.47,2.8
Miami Heat,Orlando Magic,09.04.2023 14:00,1xBet,1.51,2.82
Miami Heat,Orlando Magic,09.04.2023 14:00,Betfair,1.44,2.7
Miami Heat,Orlando Magic,09.04.2023 14:00,Marsbet,1.47,2.6
